cost,charging_points,pay_at_location,is_operational,latitude,longitude,operator,connection_type,Address
Unknown,22,Unknown,Unknown,-33.8763052,151.1778386,Chargefox,Unknown,"1, Dalgal Way, Forest Lodge, Inner West, Sydney, Council of the City of Sydney, New South Wales, 2037, Australia"
Unknown,7,Unknown,Unknown,-32.9028042,151.6906686,Chargepoint,Unknown,"Blue Gum Road, Jesmond, Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2299, Australia"
Unknown,22,Unknown,Unknown,-33.9138057,151.2391178,Chargefox,Unknown,"Silver Street, Randwick, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2031, Australia"
Unknown,1,Unknown,Unknown,-33.9053712,151.2129122,Chargefox,Unknown,"Chargefox, Defries Avenue, Victoria Square, Zetland, Sydney, Council of the City of Sydney, New South Wales, 2017, Australia"
Unknown,1,Unknown,Unknown,-37.7644055,144.9222192,Tesla Supercharger,Unknown,"Tesla Supercharger, Taylor Street, Moonee Ponds, Melbourne, City of Moonee Valley, Victoria, 3039, Australia"
Unknown,1,Unknown,Unknown,-26.9182695,152.9964595,Evie Networks,Unknown,"Evie Networks, Wild Horse Road, Coochin Creek, Sunshine Coast Regional, Queensland, 4518, Australia"
Unknown,2,Unknown,Unknown,-27.4954744,153.0167803,Unknown,Unknown,"Swim Pool Deck, St Lucia, Greater Brisbane, Queensland, 4067, Australia"
Unknown,3,Unknown,Unknown,-32.6539082,151.9625258,Chargefox,CHAdeMO,"Wharing Street, Karuah, Port Stephens Council, New South Wales, 2324, Australia"
Unknown,2,Unknown,Unknown,-41.9293446,147.4945273,Evie Networks,CHAdeMO,"Evie Networks, Commonwealth Lane, Campbell Town, Northern Midlands, Tasmania, 7210, Australia"
Unknown,1,Unknown,Unknown,-27.4921779,153.0412292,Unknown,Unknown,"South, South City Square, Woolloongabba, Greater Brisbane, Queensland, 4102, Australia"
Unknown,1,Unknown,Unknown,-29.0106618,134.7543104,"Tesla, Inc.",Unknown,"Tesla Destination Charger, Post Office Hill Road, Coober Pedy, The District Council of Coober Pedy, South Australia, 5723, Australia"
Unknown,1,Unknown,Unknown,-37.7189925,144.9614795,Chargefox,CHAdeMO,"Boundary Road, Hadfield, Melbourne, City of Merri-bek, Victoria, 3046, Australia"
Unknown,1,Unknown,Unknown,-36.0837898,146.9148011,NRMA,CHAdeMO,"Kiewa Street, Albury, Albury City Council, New South Wales, 2640, Australia"
Unknown,1,Unknown,Unknown,-37.5613256,143.8623024,Chargefox,CHAdeMO,"Shepperd Street, Ballarat Central, Ballarat, City of Ballarat, Victoria, 3350, Australia"
Unknown,1,Unknown,Unknown,-35.7099111,150.1774214,Evie Networks,Unknown,"Orient Street, Batemans Bay, Eurobodalla Shire Council, New South Wales, 2536, Australia"
Unknown,4,Unknown,Unknown,-26.1881513,152.6612476,Tesla Supercharger,Unknown,"Tesla Supercharger, Monkland Street, Gympie, Gympie Regional, Queensland, Australia"
Unknown,1,Unknown,Unknown,-32.7742468,151.2946203,NRMA,Unknown,"Lakes Walk, Cessnock, Cessnock City Council, New South Wales, Australia"
Unknown,1,Unknown,Unknown,-33.9306373,151.2464722,Unknown,Unknown,"Munda Street, Randwick, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2031, Australia"
Unknown,1,Unknown,Unknown,-37.8244076,144.9244765,Unknown,Unknown,"Douglas Street, Fishermans Bend, Port Melbourne, Melbourne, City of Melbourne, Victoria, 3207, Australia"
